a-cro	a-kɾo
a-e-ro	a-ɛ-ɾo
a-gro	a-gɾo
an-dro	ɐ̃-dɾo
an-te	ɐ̃-te
an-tro-po	ɐ̃-tɾo-po
au-to	aʊ-to
bem	bẽĩ
bi-blio	bi-blio
bi-o	bi-o
bron-co	bɾõʊ̃-ko
car-di-o	kaɾ-ʤi-o
clo-ro	klɔ-ɾo
crip-to	kɾipɪ-to
des	ʤis
de-s	ʤi-z
e-co	e-ko
e-tno	ɛ-tʃɪno
e-le-tro	e-lɛ-tɾo
en-do	ẽɪ̃-do
entre	ẽĩ-tɾe
e-pi	e-pi
e-tno	e-ʧɪno
eu	eʊ
e-s	i-s
es	ez
ex-tra	es-tɾa
ex	es
fe-rro	fɛ-Xʊ
fi-sio	fi-zio
fi-to	fi-to
fo-to	fɔ-to
gas-tro	gas-tɾo
he-lio	ɛ-lio
he-mi	e-mi
he-mo	e-mo
hep-ta	ɛpɪ-ta
he-te-ro	ɛ-te-ɾo
hi-dro	i-dɾo
hi-per	i-peX
hi-pno	i-pɪno
hi-po	i-po
ho-mo	o-mo
i-dio	i-ʤio
i-so	i-zo
lo-go	lo-go
ma-cro	ma-kɾo
me-ga	mɛ-ga
me-so	me-zo
me-ta	me-ta
me-tro	mɛ-tɾo
mi-cro	mi-kɾo
mio	mio
mo-no	mo-no
mor-fo	moɾ-fo
mo-to	mɔ-to
ne-cro	nɛ-kɾo
neo	nɛo
o-don-to	o-dõʊ̃-to
o-f-tal-mo	o-f-ɪtaʊ-mo
o-ni	o-ni
on-to	õʊ̃-to
or-to	oɾ-to
o-to	o-to
pa-to	pa-to
per	peX
pe-ri	pe-ɾi
pi-ro	pi-ɾo
pne-u-mo	pɪne-ʊ-mo
po-li	po-li
pos	pos
p-seu-do	pɪ-seʊ-do
p-si-co	pɪ-si-ko
re-cém	Xe-sẽɪ̃
re-tro	Xɛ-tɾʊ
re	Xe
ri-no	Xi-no
se-mi	se-mi
so-bre	so-bɾe
so-b	so-bɪ
so-cio	sɔ-siʊ
so-to	so-to
sub	subɪ
su-per	su-peX
tec-no	tɛkɪ-no
te-le	tɛ-le
teo	teo
ter-mo	tɛɣ-mo
to-po	to-po
tran-s	tɾɐ̃-s
trans	tɾɐ̃z
tre-s	tɾe-z
tres	tɾes
vi-ce	vi-se
vi-deo	vi-deo
xe-no	ʃe-no
zoo	zoo
